愛,あい,憎,ぞう
起床,きしょう,就床･就寝,しゅうしん
喜色,きしょく,憂色,ゆうしょく
既遂,きすい,未遂,みすい
基数,きすう,序数,じょすう
奇数,きすう,偶数,ぐうすう
既成,きせい,未成,みせい
既設,きせつ,未設,みせつ
北,きた,南,みなみ
汚い,きたない,綺麗,きれい
来る,きたる,去る,さる
既知,きち,未知,みち
吉,きち,凶,きょう
吉事,きちじ,凶事,きょうじ
吉日,きちじつ,凶日,きょうじつ
既着,きちゃく,未着,みちゃく
貴著,きちょ,拙著,せっちょ
吉兆,きっちょう,凶兆,きょうちょう
喫煙,きつえん,禁煙,きんえん
既定,きてい,未定,みてい
貴店,きてん,弊店,へいてん
起点,きてん,終点,しゅうてん
気長,きなが,気短･短気,きみじか･たんき
帰農,きのう,離農,りのう
希薄,きはく,濃厚･濃密,のうこう･のうみつ
着物,きもの,洋服,ようふく
客位,きゃくい,主位,しゅい
客員,きゃくいん,正員,せいいん
脚韻,きゃくいん,頭韻,とういん
客体,きゃくたい,主体,しゅたい
脚注,きゃくちゅう,頭注,とうちゅう
客観,きゃっかん,主観,しゅかん
旧刊,きゅうかん,新刊,しんかん
吸気,きゅうき,呼気,こき
旧教,きゅうきょう,新教,しんきょう
急減,きゅうげん,急増,きゅうぞう
急行,きゅうこう,鈍行,どんこう
旧式,きゅうしき,新式,しんしき
旧習,きゅうしゅう,新風,しんぷう
求職,きゅうしょく,求人,きゅうじん
急進,きゅうしん,漸進,ぜんしん
給水,きゅうすい,排水,はいすい
旧制,きゅうせい,新制,しんせい
急性,きゅうせい,慢性,まんせい
及第,きゅうだい,落第,らくだい
旧著,きゅうちょ,近著,きんちょ
給電,きゅうでん,送電,そうでん
急騰,きゅうとう,急落,きゅうらく
旧年,きゅうねん,新年,しんねん
旧版,きゅうはん,新版,しんぱん
旧暦,きゅうれき,新暦,しんれき
強化,きょうか,弱化,じゃっか
狂気,きょうき,正気,しょうき
狭軌,きょうき,広軌,こうき
供給,きょうきゅう,需要,じゅよう
狭義,きょうぎ,広義,こうぎ
強健,きょうけん,病弱,びょうじゃく
強固,きょうこ,軟弱･薄弱,なんじゃく･はくじゃく
強硬,きょうこう,柔軟･軟弱,じゅうなん･なんじゃく
強国,きょうこく,弱国,じゃっこく
凶作,きょうさく,豊作,ほうさく
強者,きょうしゃ,弱者,じゃくしゃ
狭小,きょうしょう,広大,こうだい
強靭,きょうじん,脆弱,ぜいじゃく
凶事･弔事,きょうじ･ちょうじ,慶事,けいじ
強大,きょうだい,弱小,じゃくしょう
共通語,きょうつうご,方言,ほうげん
強敵,きょうてき,弱敵,じゃくてき
共同,きょうどう,単独,たんどく
強度･重度,きょうど･じゅうど,軽度,けいど
共犯,きょうはん,主犯･単独犯,しゅはん･たんどくはん
共有,きょうゆう,専有,せんゆう
共用･汎用,きょうよう･はんよう,専用,せんよう
狭量,きょうりょう,広量,こうりょう
共和国,きょうわこく,君主国,くんしゅこく
許可,きょか,禁止,きんし
虚偽,きょぎ,真実,しんじつ
極右,きょくう,極左,きょくさ
極小,きょくしょう,極大,きょくだい
曲線,きょくせん,直線,ちょくせん
曲筆,きょくひつ,直筆,ちょくひつ
曲論,きょくろん,正論,せいろん
拒絶,きょぜつ,承諾,しょうだく
虚像,きょぞう,実像,じつぞう
巨大,きょだい,微細･微小,びさい･びしょう
去年,きょねん,来年,らいねん
巨利,きょり,小利･薄利,しょうり･はくり
清める,きよめる,祓う,はらう
嫌い,きらい,好き,すき
近縁,きんえん,遠縁,とおえん
僅差･小差,きんさ･しょうさ,大差,たいさ
緊張,きんちょう,弛緩,しかん
金納,きんのう,物納,ぶつのう
勤勉,きんべん,怠惰･怠慢,たいだ･たいまん
偽悪,ぎあく,偽善,ぎぜん
義兄,ぎけい,実兄,じっけい
義姉,ぎし,実姉,じっし
擬似,ぎじ,真性,しんせい
義弟,ぎてい,実弟,じってい
偽筆,ぎひつ,真筆,しんぴつ
義母･養母,ぎぼ･ようぼ,実母,じつぼ
義妹,ぎまい,実妹,じつまい
義務,ぎむ,権利,けんり
偽名,ぎめい,実名,じつめい
逆,ぎゃく,順,じゅん
逆縁,ぎゃくえん,順縁,じゅんえん
逆接,ぎゃくせつ,順接,じゅんせつ
逆風,ぎゃくふう,順風,じゅんぷう
逆境,ぎゃっきょう,順境,じゅんきょう
逆行,ぎゃっこう,順行･順応,じゅんこう･じゅんのう
仰臥,ぎょうが,伏臥,ふくが
凝固,ぎょうこ,融解,ゆうかい
行頭,ぎょうとう,行末,ぎょうまつ
空間,くうかん,時間,じかん
空虚,くうきょ,充実,じゅうじつ
空腹,くうふく,満腹,まんぷく
空包,くうほう,実包,じっほう
空冷,くうれい,水冷,すいれい
薬,くすり,毒,どく
口軽,くちがる,口重,くちおも
句点,くてん,読点,とうてん
曇る,くもる,照る･晴れる,てる･はれる
玄人,くろうと,素人,しろうと
黒星,くろぼし,白星,しろぼし
君子,くんし,小人,しょうじん
偶然,ぐうぜん,必然,ひつぜん
愚考,ぐこう,賢慮,けんりょ
愚者,ぐしゃ,賢者,けんじゃ
具象,ぐしょう,抽象,ちゅうしょう
具体的,ぐたいてき,抽象的,ちゅうしょうてき
愚答,ぐとう,名答,めいとう
愚鈍,ぐどん,利発,りはつ
軍拡,ぐんかく,軍縮,ぐんしゅく
軽快,けいかい,荘重,そうちょう
慧眼,けいがん,凡眼,ぼんがん
兄姉,けいし,弟妹,ていまい
軽視,けいし,重視,じゅうし
形式,けいしき,内容,ないよう
軽傷,けいしょう,重傷,じゅうしょう
軽症,けいしょう,重症,じゅうしょう
敬称･尊称,けいしょう･そんしょう,謙称,けんしょう
刑事,けいじ,民事,みんじ
軽装,けいそう,盛装･美装,せいそう･びそう
軽率,けいそつ,慎重,しんちょう
継続,けいぞく,中止,ちゅうし
敬体,けいたい,常体,じょうたい
軽薄,けいはく,重厚,じゅうこう
軽蔑,けいべつ,尊敬,そんけい
軽妙,けいみょう,鈍重,どんちょう
軽量,けいりょう,重量,じゅうりょう
結果,けっか,原因,げんいん
欠格,けっかく,適格,てきかく
欠勤･退勤,けっきん･たいきん,出勤,しゅっきん
結婚,けっこん,離婚,りこん
決算,けっさん,予算,よさん
欠席,けっせき,出席,しゅっせき
欠点,けってん,長所･美点,ちょうしょ･びてん
結党,けっとう,解党,かいとう
結語,けつご,緒語,しょご
結合,けつごう,分離,ぶんり
顕界,けんかい,幽界,ゆうかい
圏外,けんがい,圏内,けんない
謙虚,けんきょ,尊大･横柄,そんだい･おうへい
兼業,けんぎょう,専業,せんぎょう
顕在,けんざい,潜在,せんざい
謙譲,けんじょう,尊大,そんだい
建設,けんせつ,破壊,はかい
謙遜,けんそん,不遜,ふそん
兼題,けんだい,席題,せきだい
堅調,けんちょう,軟調,なんちょう
兼任,けんにん,専任,せんにん
兼務,けんむ,本務,ほんむ
倹約,けんやく,浪費,ろうひ
兼用,けんよう,専用,せんよう
下界,げかい,上界,じょうかい
激減,げきげん,激増,げきぞう
激痛,げきつう,鈍痛,どんつう
下戸,げこ,上戸,じょうご
下校,げこう,登校,とうこう
下作,げさく,上作,じょうさく
下策,げさく,上策,じょうさく
下座,げざ,上座,じょうざ
下山,げざん,登山,とざん
夏至,げし,冬至,とうじ
下城,げじょう,登城,とじょう
下水,げすい,上水,じょうすい
下船,げせん,乗船,じょうせん
月刊,げっかん,週刊･日刊･年刊,しゅうかん･にっかん･ねんかん
月光,げっこう,日光,にっこう
月初,げっしょ,月末,げつまつ
下馬,げば,乗馬,じょうば
下品,げひん,上品,じょうひん
下物･安物,げもの･やすもの,上物,じょうもの
下落,げらく,騰貴,とうき
下劣･低俗･野卑,げれつ･ていぞく･やひ,高尚,こうしょう
減員,げんいん,増員,ぞういん
減益,げんえき,増益,ぞうえき
減額,げんがく,増額,ぞうがく
原義･本義,げんぎ･ほんぎ,転義,てんぎ
原告,げんこく,被告,ひこく
原語,げんご,訳語,やくご
減産,げんさん,増産,ぞうさん
現在,げんざい,過去･未来,かこ･みらい
減資,げんし,増資,ぞうし
減収,げんしゅう,増収,ぞうしゅう
原書,げんしょ,訳書,やくしょ
減少,げんしょう,増加･増大,ぞうか･ぞうだい
現住,げんじゅう,先住,せんじゅう
