愛,あい,憎,ぞう
邦楽,ほうがく,洋楽,ようがく
奉迎,ほうげい,奉送,ほうそう
程近い,ほどちかい,程遠い,ほどとおい
本山,ほんざん,末寺,まつじ
本式,ほんしき,略式,りゃくしき
本質的,ほんしつてき,末梢的,まっしょうてき
本選,ほんせん,予選,よせん
防寒,ぼうかん,防暑,ぼうしょ
暴騰,ぼうとう,暴落,ぼうらく
凡手,ぼんしゅ,名手,めいしゅ
禍事,まがごと,善事,よごと
幕開け,まくあけ,幕切れ,まくぎれ
股上,またがみ,股下,またした
間近,まぢか,間遠,まどお
眦･目尻,まなじり･めじり,目頭,めがしら
店仕舞い,みせじまい,店開き,みせびらき
密出国,みつしゅっこく,密入国,みつにゅうこく
見難い,みにくい,見易い,みやすい
無益,むえき,有益,ゆうえき
無害,むがい,有害,ゆうがい
無蓋,むがい,有蓋,ゆうがい
無期,むき,有期,ゆうき
無機,むき,有機,ゆうき
無給,むきゅう,有給,ゆうきゅう
無形,むけい,有形,ゆうけい
無限,むげん,有限,ゆうげん
婿,むこ,嫁,よめ
無効,むこう,有効,ゆうこう
婿取り,むことり,嫁取り,よめとり
無産,むさん,有産,ゆうさん
無罪,むざい,有罪,ゆうざい
無人,むじん,有人,ゆうじん
息子,むすこ,娘,むすめ
難しい,むずかしい,易しい,やさしい
無精卵,むせいらん,有精卵,ゆうせいらん
無線,むせん,有線,ゆうせん
無税,むぜい,有税,ゆうぜい
無毒,むどく,有毒,ゆうどく
無能,むのう,有能,ゆうのう
無名,むめい,有名,ゆうめい
無料,むりょう,有料,ゆうりょう
名医,めいい,薮医者,やぶいしゃ
馬手,めて,弓手,ゆんで
元金,もときん,利息,りそく
野党,やとう,与党,よとう
優遇,ゆうぐう,冷遇,れいぐう
優秀,ゆうしゅう,劣悪,れつあく
優勢,ゆうせい,劣勢,れっせい
洋菓子,ようがし,和菓子,わがし
洋裁,ようさい,和裁,わさい
洋式,ようしき,和式,わしき
洋書,ようしょ,和書,わしょ
洋風,ようふう,和風,わふう
洋服,ようふく,和服,わふく
来日,らいにち,離日,りにち
立夏,りっか,立冬,りっとう
立秋,りっしゅう,立春,りっしゅん
輪作,りんさく,連作,れんさく
累減,るいげん,累増,るいぞう
令嬢,れいじょう,令息,れいそく
連勝,れんしょう,連敗,れんぱい
老翁,ろうおう,老媼,ろうおう
老妻,ろうさい,老夫,ろうふ
老婆,ろうば,老爺,ろうや
老木,ろうぼく,若木,わかぎ
割引,わりびき,割増,わりまし
